2009436 	In exchange for renewed building restrictions, the White House would pledge to ask Congress to sell Israel 20 stealth fighter jets for $3 billion, Cabinet Minister Yuli Edelstein told the Associated Press.	20.000000, 3000000000.000000	Israel 
2040406 	China's consumer price index (CPI), a main gauge of inflation, soared to a 25-month high of 4.4 percent year on year in October.	65742500.000000, 4.400000	China 
2056179 	Bilateral trade stands around $2.6 billion -- roughly one percent of Turkey's overall trade -- and Israeli have given crucial support in recent years to Turkey's efforts to prevent the deaths of 1.5 million Armenians in Ottoman Turkey during World War I from being labeled a genocide.	2600000000.000000, 1500000.000000	Turkey , Israel 
2079999 	Haiti to Unveil $3.9 Billion Blueprint for Reconstruction UNITED NATIONS By Colum Lynch WASHINGTON POST-BLOOMBERG--03-30-10 0949ET Haitian President Ren Pr val is to unveil a $3.9 billion plan Wednesday to begin radically reshaping his country's post-earthquake economy and infrastructure, according to a Haitian reconstruction action plan.	3900000000.000000, 3900000000.000000	Haiti 
2099012 	U.S. Secretary of State Hillary Rodham Clinton visited Pakistan last week to unveil $500 million worth of development projects, the first disbursement of a $7.5 billion, five-year aid package approved by Congress last year.	500000000.000000, 7500000256.000000	Pakistan 
2116124 	Elsewhere, Sydney trod water despite an announcement by the competition regulator that it would not obstruct an 8.3 billion US dollar merger between the Australian and Singapore stock exchanges to create the world's fifth biggest bourse.	8300000256.000000	US , Australia , Singapore 
2118834 	California reported exports worth $10 billion to China in 2009.	10000000000.000000, 2009.000000	China 
2153057 	Kaia Kanepi (25), Estonia, 6-0, 2-6, 6-2.	25.000000, 6.000000	Estonia 
2164343 	Under the terms of the loan, the United States owns 60.8 percent of GM, and Canada and Ontario hold 11.7 percent, in return for $10.5 billion in financing.	60.799999, 11.700000, 10499999744.000000	Canada 
2170252 	Regional stability could be an issue for sales to India, which is being courted by Lockheed and Boeing for the right to build 126 fighter jets, a contract potentially worth $11 billion.	126.000000, 11000000512.000000	India 
2182716 	CHINA ' S CONSUMER PRICES ROSE 2.7 PERCENT IN FEBRUARY Consumer prices in China rose 2.7 percent in February over the same month in 2009, according to data released Thursday, an increase partly attributable to the Lunar New Year holiday but also to rising inflationary pressures.	2.700000, 2.700000, 2009.000000	China
2185244 	Hungarian Central Bank hikes benchmark interest rate to 5.5 percent BUDAPEST, Nov. 29 (Xinhua) The National Bank of Hungary' s rate-setting Monetary Council raised the benchmark interest rate by 25 basis points to 5.50 percent on Monday, citing a risk that the inflation rate would exceed 3 percent and that it would continue to rise unless checked.	5.500000, 0.290000, 25.000000, 5.500000, 3.000000	Hungary 
2186755 	Ainsworth later told the House of Commons that funding for the campaign in Afghanistan from the Treasury reserve was set to increase from 3.5 billion pounds (about 5.6 billion U.S. dollars) this year to 5 billion pounds (about 7.9 billion U.S. dollars) next year.	1587573248.000000, 5600000000.000000, 2267961856.000000, 7900000256.000000	Afghanistan 
2195967 	According to statistics provided by US officials, the average life expectancy for women in Afghanistan is 44 years old and one women in eight die during childbirth -- one of the highest maternal mortality rates in the world.	1388534400.000000, 1.000000	US , Afghanistan 
2198569 	Natural gas prices have fallen 64percent in the past year, closing Tuesday at $2.82 per million British thermal units.	64.000000, 2.820000	UK 
